,experiment,timestep,mean episodic runtime,mean episodic length,eval episodes,mean episodic returns,min episodic returns,max episodic returns,std episodic returns,episodes
0,exp_name: takeoff-aviary-v0_2023-01-18,2079,0.056455,207.9,10,-213.566945,-259.56452,-165.077749,31.93451,0
1,exp_name: takeoff-aviary-v0_2023-01-18,4238,0.065848,239.888889,9,-247.586287,-308.250438,-151.336051,58.261147,1
2,exp_name: takeoff-aviary-v0_2023-01-18,6585,0.070796,260.777778,9,-296.733622,-866.496618,-171.478153,207.419141,2
3,exp_name: takeoff-aviary-v0_2023-01-18,8720,0.058408,213.5,10,-220.763212,-292.176014,-177.676724,35.833493,3
0,exp_name: takeoff-aviary-v0_2023-01-18,10799,0.049946,189.0,11,-205.599259,-278.123585,-173.815069,27.584123,4
1,exp_name: takeoff-aviary-v0_2023-01-18,12891,0.068817,261.5,8,-322.704749,-729.972804,-176.453646,221.570011,5
2,exp_name: takeoff-aviary-v0_2023-01-18,15046,0.05931,215.5,10,-221.95839,-355.328926,-142.038761,65.731388,6
3,exp_name: takeoff-aviary-v0_2023-01-18,17105,0.053536,205.9,10,-212.525611,-305.323207,-187.178102,33.255444,7
4,exp_name: takeoff-aviary-v0_2023-01-18,19290,0.070204,273.125,8,-294.245979,-652.594601,-180.124852,141.633852,8
