,mean episodic length,mean episodic rewards,timestep
0,200.0,-1166.4663644099808,187200
0,200.0,-1151.514127779331,189800
0,200.0,-1278.3635668614527,192400
0,200.0,-1201.3303839022328,195000
0,200.0,-1192.1494624173172,197600
0,200.0,-1173.742477379343,200200
0,200.0,-1175.4829603655535,202800
0,200.0,-1289.652994579984,205400
0,200.0,-1328.1209087289935,208000
0,200.0,-1222.3244858902785,210600
0,200.0,-1157.7354792679753,213200
0,200.0,-1240.4163301776348,215800
0,200.0,-1096.808745903685,218400
0,200.0,-1097.5286466060354,221000
0,200.0,-1174.4712043588236,223600
0,200.0,-1290.637510933792,226200
0,200.0,-1148.293335575139,228800
0,200.0,-1164.9369766608281,231400
0,200.0,-1123.1537091751693,234000
0,200.0,-1181.2834374130284,236600
0,200.0,-1151.1996333833458,239200
0,200.0,-1138.5941455599761,241800
0,200.0,-1222.7742078869442,244400
0,200.0,-1179.23886014621,247000
0,200.0,-1290.0309962359481,249600
0,200.0,-1095.9761335896833,252200
0,200.0,-1202.7745230258465,254800
0,200.0,-1236.59879481904,257400
0,200.0,-1188.9362070176737,260000
0,200.0,-1196.1073027736481,262600
0,200.0,-1226.8067064047964,265200
0,200.0,-1244.263337249209,267800
0,200.0,-1051.1364175720348,270400
0,200.0,-1252.4246996962765,273000
0,200.0,-1202.499070008251,275600
0,200.0,-1242.3127832196317,278200
0,200.0,-1257.337177290789,280800
0,200.0,-1156.6490973949342,283400
0,200.0,-1093.1166992232195,286000
0,200.0,-1220.401181044335,288600
0,200.0,-1318.5745462183118,291200
0,200.0,-1222.0165405883026,293800
0,200.0,-1141.374022184801,296400
0,200.0,-1156.1123728289565,299000
0,200.0,-1160.7227439345543,301600
0,200.0,-1263.5062317330362,304200
0,200.0,-1291.4865638900887,306800
0,200.0,-1289.4785009377463,309400
0,200.0,-1096.2839692052582,312000
0,200.0,-1142.221775074648,314600
0,200.0,-1153.2237797923965,317200
0,200.0,-1087.0433774318326,319800
0,200.0,-1274.400408040122,322400
0,200.0,-1320.6918622360502,325000
0,200.0,-1182.6926368027093,327600
0,200.0,-1132.4894898669913,330200
0,200.0,-1198.4283187467117,332800
0,200.0,-1227.90084737319,335400
0,200.0,-1275.6142082901158,338000
0,200.0,-1105.0715581408822,340600
0,200.0,-1171.765671022675,343200
0,200.0,-1184.0340420177317,345800
0,200.0,-1152.0397376755168,348400
0,200.0,-1216.7131271218948,351000
0,200.0,-1178.8837757150525,353600
0,200.0,-1199.0405578717762,356200
0,200.0,-1181.10942935165,358800
0,200.0,-1279.1101853732955,361400
0,200.0,-1247.0094341225285,364000
0,200.0,-1181.6221643880374,366600
0,200.0,-1184.1989003657552,369200
0,200.0,-1149.6225289718361,371800
0,200.0,-1068.1061138308157,374400
0,200.0,-1190.321564820956,377000
0,200.0,-1189.7394456744983,379600
0,200.0,-1283.5126021011988,382200
0,200.0,-1343.65969309922,384800
0,200.0,-1183.0866828429314,387400
0,200.0,-1296.6738957824964,390000
0,200.0,-1168.0093196340995,392600
0,200.0,-1174.8268415336568,395200
0,200.0,-1156.4287358357358,397800
0,200.0,-1034.930327901259,400400
0,200.0,-1122.8972940899625,403000
0,200.0,-1278.3374102197731,405600
0,200.0,-1165.9703903052819,408200
0,200.0,-1036.620769745266,410800
0,200.0,-1172.8042458686139,413400
0,200.0,-1112.4819761027782,416000
0,200.0,-1024.1307978151412,418600
0,200.0,-1099.6447109516791,421200
0,200.0,-1148.1471184564632,423800
0,200.0,-1043.9413121562554,426400
0,200.0,-1272.6811240354605,429000
0,200.0,-1177.2880765310497,431600
0,200.0,-1155.988730210002,434200
0,200.0,-1107.176063942559,436800
0,200.0,-1305.245939831318,439400
0,200.0,-1026.0657614284346,442000
0,200.0,-1072.8025057673635,444600
0,200.0,-1248.0280260912057,447200
0,200.0,-1254.7963770920799,449800
0,200.0,-1173.2933169404419,452400
0,200.0,-1212.2176301860109,455000
0,200.0,-1100.5349088747375,457600
0,200.0,-1075.4615188135317,460200
0,200.0,-1203.4444665544452,462800
0,200.0,-1059.9772393161165,465400
0,200.0,-1133.7027078521025,468000
0,200.0,-1157.6464782769312,470600
0,200.0,-1107.5721864184552,473200
0,200.0,-1211.2568956121215,475800
0,200.0,-1252.0917021179819,478400
0,200.0,-1052.1022304342969,481000
0,200.0,-1172.6242147106732,483600
0,200.0,-1190.7489194796754,486200
0,200.0,-1103.0601785317708,488800
0,200.0,-1251.8670298311704,491400
0,200.0,-1013.078595109477,494000
0,200.0,-1260.637625394148,496600
0,200.0,-1044.6871867298455,499200
0,200.0,-1135.7861317537893,501800
0,200.0,-1206.0448447740666,504400
0,200.0,-1147.7557807243038,507000
0,200.0,-1129.527753723825,509600
0,200.0,-1044.725567552027,512200
0,200.0,-1139.6159270458595,514800
0,200.0,-1226.8471667598335,517400
0,200.0,-1228.4563955798067,520000
0,200.0,-1121.5384085644653,522600
0,200.0,-1122.3337393997751,525200
0,200.0,-1083.6567855077535,527800
0,200.0,-1061.330527754668,530400
0,200.0,-1130.1098594908563,533000
0,200.0,-1149.7188529246466,535600
0,200.0,-1113.6804615749372,538200
0,200.0,-1178.850206324511,540800
0,200.0,-1069.1763690047392,543400
