,experiment,timestep,mean episodic length,mean episodic returns,mean episodic runtime,std episodic returns
0,experiment,85800,200.0,-1170.6550165032775,0.036139878359707917,246.38919922060524
0,experiment,88000,200.0,-1313.4833251280686,0.03630029071461071,325.5753591550424
0,experiment,90200,200.0,-1451.7092753049096,0.036157629706642845,343.3716577088797
0,experiment,92400,200.0,-1292.309066521337,0.03660015626387163,252.3487300672313
0,experiment,94600,200.0,-1255.3443590103182,0.03743284398859197,282.73797103046854
0,experiment,96800,200.0,-1217.5068624152173,0.03916244073347612,184.41406585176972
0,experiment,99000,200.0,-1218.112054189164,0.037347511811689896,305.3902023929717
0,experiment,101200,200.0,-1201.7536105641689,0.03691298311406916,144.66313135302005
0,experiment,103400,200.0,-1233.6384791913488,0.036576639522205696,317.1272723956948
0,experiment,105600,200.0,-1206.692634110954,0.037326509302312676,251.7676140010944
0,experiment,107800,200.0,-1157.9349078675068,0.03783967278220437,144.1963338777898
0,experiment,110000,200.0,-1218.7515120983842,0.03945168581875888,259.87780132651176
0,experiment,112200,200.0,-1171.4787950746102,0.03741530938581987,184.56197625209776
0,experiment,114400,200.0,-1143.8813599299879,0.03662538528442383,256.7559056964284
0,experiment,116600,200.0,-1155.399798815972,0.03618400747125799,275.3874475485659
0,experiment,118800,200.0,-1202.9529422226972,0.03627688234502619,218.62752393263295
0,experiment,121000,200.0,-1143.4832429411956,0.037675575776533646,277.08470391222573
0,experiment,123200,200.0,-1119.065870938809,0.03922930630770596,296.5121784190378
0,experiment,125400,200.0,-1160.8542286877025,0.037256479263305664,341.0459664983575
0,experiment,127600,200.0,-1158.1033393147322,0.03710558197715066,347.77062976636785
0,experiment,129800,200.0,-1197.3439238294393,0.03721419247713956,277.0212838876686
0,experiment,132000,200.0,-1355.7368018523723,0.03724239089272239,360.2987535446933
0,experiment,134200,200.0,-1138.6620484592268,0.038979660380970345,267.4912418265492
0,experiment,136400,200.0,-1117.9184529682627,0.03936949643221768,230.72832578653257
0,experiment,138600,200.0,-1119.4197963185054,0.036626252261075104,307.47423978533936
0,experiment,140800,200.0,-1052.7465981907667,0.03660975803028454,228.70974707106936
0,experiment,143000,200.0,-1131.0094063138715,0.03773938525806774,274.6202156837524
0,experiment,145200,200.0,-1136.801039883957,0.037457812916148796,268.7695675975267
0,experiment,147400,200.0,-1207.9140289560637,0.038299733942205254,247.3454236209806
0,experiment,149600,200.0,-1251.4133926484376,0.03857354684309526,319.97109699334607
0,experiment,151800,200.0,-1191.0076574397153,0.03610454906116833,404.3639508241838
0,experiment,154000,200.0,-1180.5054892292626,0.03702794421802868,277.14222889435166
0,experiment,156200,200.0,-1156.0571890985457,0.036938017064874824,256.33046349101284
0,experiment,158400,200.0,-1100.7420195330267,0.042306683280251244,179.3751844440948
0,experiment,160600,200.0,-981.7616027234737,0.039079839533025566,158.760977931382
0,experiment,162800,200.0,-1218.4965949187147,0.03813609209927646,187.01408500237318
0,experiment,165000,200.0,-1105.4133638078695,0.03714932094920765,255.8929061650888
0,experiment,167200,200.0,-1161.8214926724288,0.035982695492831146,191.36962819698374
0,experiment,169400,200.0,-1037.2711502461025,0.03594925186850808,194.22518151490263
0,experiment,171600,200.0,-1128.8398379590087,0.036130341616543854,313.39794679542797
0,experiment,173800,200.0,-1060.4512089102927,0.03834169561212713,202.067659019445
0,experiment,176000,200.0,-1202.0893951207431,0.038556814193725586,307.04969160757963
0,experiment,178200,200.0,-1190.235330316,0.03658242659135298,281.6164794997589
0,experiment,180400,200.0,-1099.4375911752227,0.037363962693647904,237.7469551347008
0,experiment,182600,200.0,-1161.8083557960404,0.03718120401555842,346.6040434438351
0,experiment,184800,200.0,-1282.5031165875155,0.036351832476529206,252.45304357712186
0,experiment,187000,200.0,-1151.6711114697493,0.03942199186845259,247.30055868521103
0,experiment,189200,200.0,-1191.1689849620964,0.03774012218822132,250.55253436747842
0,experiment,191400,200.0,-1095.2769387791639,0.03724510019475764,254.66589674154153
0,experiment,193600,200.0,-1221.6797850778605,0.03719791499051181,243.70511149662602
0,experiment,195800,200.0,-1255.7110751146422,0.036754976619373665,278.62561200876024
0,experiment,198000,200.0,-1125.6265239096858,0.037853154269131745,282.97842768411425
0,experiment,200200,200.0,-1193.3997905864946,0.039718974720348015,318.34856144459883
0,experiment,202400,200.0,-1179.6671460089945,0.03820430148731579,290.1360287192675
0,experiment,204600,200.0,-1189.1932624410933,0.03631589629433372,298.618473477516
0,experiment,206800,200.0,-1116.848495371104,0.037895787845958366,231.94702929683146
0,experiment,209000,200.0,-1273.1278977631746,0.037748315117575905,219.31982902192323
0,experiment,211200,200.0,-1185.6638873454574,0.036687374114990234,292.2109752101478
0,experiment,213400,200.0,-1119.3439121700128,0.039759830995039505,173.72945076506372
0,experiment,215600,200.0,-1203.9661383424334,0.03836707635359331,226.34105514386923
0,experiment,217800,200.0,-1174.353678440309,0.03663008863275701,199.13136952794753
0,experiment,220000,200.0,-1194.7091584391817,0.03599268739873713,202.8051589306608
0,experiment,222200,200.0,-1054.7070376425013,0.03624612634832209,169.24972907131166
0,experiment,224400,200.0,-1099.177469115071,0.03614055026661266,137.400816653673
0,experiment,226600,200.0,-1145.9303389835936,0.03920412063598633,189.7145029655816
0,experiment,228800,200.0,-1256.3199171224503,0.03803107955239036,312.57312499820216
0,experiment,231000,200.0,-1154.9289836985797,0.037143252112648704,200.194705210693
0,experiment,233200,200.0,-1091.364271207901,0.03716854615644975,144.4222560998916
0,experiment,235400,200.0,-1080.6052936393244,0.03730964660644531,155.61488642363904
0,experiment,237600,200.0,-1137.4798428388876,0.037866375663063744,203.2228029341523
0,experiment,239800,200.0,-1094.1030244214064,0.04028736461292614,239.88562746869354
0,experiment,242000,200.0,-1193.2416435870743,0.037681752985174004,296.092393590574
0,experiment,244200,200.0,-1104.4912854947133,0.03659985282204368,221.8029322435128
0,experiment,246400,200.0,-1126.4060503872574,0.03706758672540838,207.96891078842137
0,experiment,248600,200.0,-1260.5091673423863,0.03670930862426758,262.8783523185099
0,experiment,250800,200.0,-1177.4794688626573,0.03688953139565208,306.3892620623478
0,experiment,253000,200.0,-1119.9423391243126,0.039588212966918945,250.02156864369277
0,experiment,255200,200.0,-1109.0334217795946,0.03827678073536266,174.33198000261808
0,experiment,257400,200.0,-1102.2468688050913,0.03676967187361284,252.78011492776997
0,experiment,259600,200.0,-1197.2925653198931,0.03674812750382857,289.65541216541277
0,experiment,261800,200.0,-1112.7271573208573,0.03637849200855602,219.41556949568138
0,experiment,264000,200.0,-1066.718992749889,0.03683012182062322,190.9265585995446
0,experiment,266200,200.0,-1159.4942604557289,0.03988679972561923,344.2251475041859
0,experiment,268400,200.0,-1207.9393798108613,0.03696955334056507,257.3456334535314
0,experiment,270600,200.0,-1176.4263861496827,0.0362933332269842,326.34571173162095
0,experiment,272800,200.0,-1036.5253479103542,0.03657932714982466,185.5659598913257
0,experiment,275000,200.0,-1188.9462097403969,0.03748776695945046,303.83611835548334
0,experiment,277200,200.0,-1143.464932182461,0.03754702481356534,247.8079925243629
0,experiment,279400,200.0,-991.8894986513486,0.03987641768022017,194.2003241641616
0,experiment,281600,200.0,-1195.2828043647633,0.03728123144669966,286.7477151998101
0,experiment,283800,200.0,-1158.4105884652406,0.03625165332447399,315.89722724035823
0,experiment,286000,200.0,-1140.7560287643535,0.036918228322809395,167.41980964432958
0,experiment,288200,200.0,-1029.5673888727213,0.036935156041925606,107.56436956875076
0,experiment,290400,200.0,-1189.83885014031,0.03812763907692649,226.304009442668
0,experiment,292600,200.0,-1191.1274370556132,0.04015603932467374,147.04182440659923
0,experiment,294800,200.0,-1311.9850261645145,0.03825707869096236,239.82842995571548
0,experiment,297000,200.0,-1094.3516709816797,0.038456960157914596,279.1906578641106
0,experiment,299200,200.0,-1091.8377623983258,0.03720060261813077,299.5470531220014
0,experiment,301400,200.0,-1050.100255301183,0.0363466739654541,224.35385765713784
0,experiment,303600,200.0,-1079.2189010662996,0.03905660455877131,195.13173291904454
0,experiment,305800,200.0,-1290.140996130248,0.03954536264592951,252.11095349858195
0,experiment,308000,200.0,-1255.961801855251,0.037267294797030365,262.3699010142335
0,experiment,310200,200.0,-1099.2922870721784,0.03718753294511275,231.23047793386934
0,experiment,312400,200.0,-1147.642021951584,0.040969263423572884,275.6475508633145
0,experiment,314600,200.0,-1026.5657921138493,0.03605452450838956,154.38043726850924
0,experiment,316800,200.0,-1126.714460514289,0.037531592629172585,190.8552707459117
0,experiment,319000,200.0,-1081.759176738884,0.03882132877003063,219.82012905850573
0,experiment,321200,200.0,-1014.8852715943747,0.03618697686628862,248.23666081559034
0,experiment,323400,200.0,-1078.6333225101685,0.03602450544183904,247.34452319524448
0,experiment,325600,200.0,-1311.8982111441992,0.035986076701771126,291.1164147729277
0,experiment,327800,200.0,-1160.4643595503078,0.03671680797230114,192.88563549451993
0,experiment,330000,200.0,-1057.8364049096656,0.038959719917990944,287.7103178970448
0,experiment,332200,200.0,-1102.5893736321013,0.0411984920501709,289.44771889290075
0,experiment,334400,200.0,-1026.3337845962174,0.036432201212102715,154.78493101376364
0,experiment,336600,200.0,-1096.1544255428055,0.03643337163058194,286.44558970062775
0,experiment,338800,200.0,-1245.816670646839,0.03721360726789995,305.3957647147582
0,experiment,341000,200.0,-1121.1060581110482,0.03640775247053667,207.4250433377141
0,experiment,343200,200.0,-1024.5921938980987,0.037912087007002396,222.9011057214404
0,experiment,345400,200.0,-1074.8264307613397,0.03868985176086426,211.64145831875186
0,experiment,347600,200.0,-1088.5273785259626,0.036823359402743255,237.26461281145933
0,experiment,349800,200.0,-1066.6291440462176,0.03719195452603427,280.73923483577283
0,experiment,352000,200.0,-1059.2852584521022,0.03705482049421831,191.97828852930547
0,experiment,354200,200.0,-1191.8311131572782,0.0370315204967152,220.5888191474866
0,experiment,356400,200.0,-1044.6060645656719,0.03908608176491477,207.68717841434741
0,experiment,358600,200.0,-1047.0471068163295,0.038108110427856445,143.25454751873707
0,experiment,360800,200.0,-1060.6913211142562,0.03610990264198997,156.89476878750492
0,experiment,363000,200.0,-1100.126279750876,0.03614709594032981,201.84388693695792
0,experiment,365200,200.0,-1248.5229566736807,0.03634084354747425,286.36196615590717
0,experiment,367400,200.0,-1052.8292545884553,0.03757869113575329,213.59332902373836
0,experiment,369600,200.0,-1056.6376929769172,0.03918890519575639,131.37073590069323
0,experiment,371800,200.0,-1083.9702911977895,0.038876555182717064,139.3730408067927
0,experiment,374000,200.0,-995.2185071000994,0.0370375243100253,202.4087081796458
0,experiment,376200,200.0,-1032.4234004287537,0.03736448287963867,149.02823515674734
0,experiment,378400,200.0,-1065.9134048879287,0.03618530793623491,109.0768632648681
0,experiment,380600,200.0,-1031.4785762868246,0.03638653321699663,206.99844424772704
0,experiment,382800,200.0,-998.2797343044675,0.038558244705200195,95.1599465990982
0,experiment,385000,200.0,-1095.050090466142,0.03794706951488148,163.29765548489138
