,mean episodic length,mean episodic rewards,timestep
0,200.0,-1135.9389142719199,192400
0,200.0,-1277.3315712011763,195000
0,200.0,-1202.4407565051806,197600
0,200.0,-1166.1959027350863,200200
0,200.0,-1160.0609022932715,202800
0,200.0,-1173.7466985105978,205400
0,200.0,-1276.6878454429968,208000
0,200.0,-1320.5438008228007,210600
0,200.0,-1162.2074102442348,213200
0,200.0,-1122.8674627707067,215800
0,200.0,-1225.0788441426614,218400
0,200.0,-1066.5577654199994,221000
0,200.0,-1097.7708613677084,223600
0,200.0,-1144.331393727138,226200
0,200.0,-1278.2742394492782,228800
0,200.0,-1190.8979481482756,231400
0,200.0,-1212.2387248508705,234000
0,200.0,-1162.8211160583824,236600
0,200.0,-1222.2348737683194,239200
0,200.0,-1183.687424092745,241800
0,200.0,-1179.3486273764997,244400
0,200.0,-1205.3077584748812,247000
0,200.0,-1197.7680505212566,249600
0,200.0,-1323.929200550705,252200
0,200.0,-1133.502504544142,254800
0,200.0,-1245.7375159793412,257400
0,200.0,-1277.3013155286794,260000
0,200.0,-1232.0662821747717,262600
0,200.0,-1223.745786098409,265200
0,200.0,-1236.2618261220023,267800
0,200.0,-1220.3846507792582,270400
0,200.0,-1076.0748353508332,273000
0,200.0,-1217.8282028266844,275600
0,200.0,-1204.9724577401246,278200
0,200.0,-1241.4541572242922,280800
0,200.0,-1263.407127305637,283400
0,200.0,-1166.8808981441618,286000
0,200.0,-1145.440827429043,288600
0,200.0,-1280.0499819548377,291200
0,200.0,-1384.09331592493,293800
0,200.0,-1245.9725869130828,296400
0,200.0,-1200.2396964454624,299000
0,200.0,-1166.1429505839847,301600
0,200.0,-1239.4077807412107,304200
0,200.0,-1322.7093187724797,306800
0,200.0,-1322.3297246612592,309400
0,200.0,-1345.2642245027173,312000
0,200.0,-1111.9442137378126,314600
0,200.0,-1197.5610901573386,317200
0,200.0,-1222.9556774203481,319800
0,200.0,-1152.665171079968,322400
0,200.0,-1325.4317101483318,325000
0,200.0,-1355.264087217813,327600
0,200.0,-1251.1432644766928,330200
0,200.0,-1180.9821446123433,332800
0,200.0,-1227.0194367161473,335400
0,200.0,-1228.1195960272644,338000
0,200.0,-1281.3229687081907,340600
0,200.0,-1097.986787145704,343200
0,200.0,-1158.0782726562745,345800
0,200.0,-1187.147342685991,348400
0,200.0,-1146.0850980753733,351000
0,200.0,-1221.2722132744755,353600
0,200.0,-1199.0819120364572,356200
0,200.0,-1182.893559582384,358800
0,200.0,-1184.347410560054,361400
0,200.0,-1282.4193080293749,364000
0,200.0,-1218.9124929071922,366600
0,200.0,-1198.4793971834126,369200
0,200.0,-1164.8615297645279,371800
0,200.0,-1133.6656879848933,374400
0,200.0,-1068.9080166712681,377000
0,200.0,-1167.1029124138418,379600
0,200.0,-1167.7527835546246,382200
0,200.0,-1280.2652480650916,384800
0,200.0,-1311.4346816743323,387400
0,200.0,-1190.3243304449356,390000
0,200.0,-1289.539706660182,392600
0,200.0,-1135.8932482389646,395200
0,200.0,-1144.4579913121074,397800
0,200.0,-1140.1526692847913,400400
0,200.0,-994.5186477570859,403000
0,200.0,-1103.9885695032522,405600
0,200.0,-1276.9717909035683,408200
0,200.0,-1148.5854937639915,410800
0,200.0,-1033.1785376755158,413400
0,200.0,-1207.751619649358,416000
0,200.0,-1099.6689976179487,418600
0,200.0,-1055.8229600323446,421200
0,200.0,-1085.3590859809121,423800
0,200.0,-1122.6185434835968,426400
0,200.0,-1083.874035014756,429000
0,200.0,-1218.1684682291493,431600
0,200.0,-1171.4733293756578,434200
0,200.0,-1147.0122380758805,436800
0,200.0,-1078.188995106888,439400
0,200.0,-1241.2050420923392,442000
0,200.0,-1061.2421185359312,444600
0,200.0,-1018.9582574991447,447200
0,200.0,-1215.6671343673172,449800
0,200.0,-1228.0015133960324,452400
0,200.0,-1162.7040139985418,455000
0,200.0,-1204.6748176850322,457600
0,200.0,-1097.217816268954,460200
0,200.0,-1073.1828418097018,462800
0,200.0,-1160.1477769226842,465400
0,200.0,-1052.252159977098,468000
0,200.0,-1123.8253645039215,470600
0,200.0,-1131.6258416865387,473200
0,200.0,-1090.5589864630192,475800
0,200.0,-1176.8854000825709,478400
0,200.0,-1189.3131746804418,481000
0,200.0,-1014.2098586158429,483600
0,200.0,-1145.2391145977,486200
0,200.0,-1150.791214073925,488800
0,200.0,-1077.8782921364034,491400
0,200.0,-1238.2635739591494,494000
