,experiment,timestep,mean episodic length,mean episodic returns,std episodic returns
0,experiment,130000,200.0,-1437.974709395027,249.06211495126868
0,experiment,132600,200.0,-1482.7520401529014,254.51507266404155
0,experiment,135200,200.0,-1250.5870869449136,228.20803970158266
0,experiment,137800,200.0,-1333.9722523570433,214.9266050694616
0,experiment,140400,200.0,-1206.8863879758017,244.0511695957701
0,experiment,143000,200.0,-1253.7102870135839,241.06600946900326
0,experiment,145600,200.0,-1272.7379892680547,253.39109993960088
0,experiment,148200,200.0,-1331.8017709950893,221.71964238475658
0,experiment,150800,200.0,-1443.7418355482916,279.93662865084747
0,experiment,153400,200.0,-1327.8339320217997,324.88094644692677
0,experiment,156000,200.0,-1378.4589798394386,230.21655155795497
0,experiment,158600,200.0,-1222.5680018669905,244.56000091364
0,experiment,161200,200.0,-1169.5869448222893,280.5694055537907
0,experiment,163800,200.0,-1191.9827540402318,254.1054839428128
0,experiment,166400,200.0,-1227.9567676356087,280.0439786203806
0,experiment,169000,200.0,-1260.2918549682458,233.75126212881798
0,experiment,171600,200.0,-1225.2895836640857,294.4249137438163
0,experiment,174200,200.0,-1201.6783689387958,218.04369541871662
0,experiment,176800,200.0,-1252.182104586781,308.62878319509167
0,experiment,179400,200.0,-1223.319679456903,336.2537959332528
0,experiment,182000,200.0,-1265.8914346002848,245.73236905736147
0,experiment,184600,200.0,-1392.0066167314287,319.42563012082843
0,experiment,187200,200.0,-1238.338808941388,245.61318250234345
0,experiment,189800,200.0,-1225.1640392385268,272.2131796926058
0,experiment,192400,200.0,-1154.4265117928803,312.6857799847027
0,experiment,195000,200.0,-1298.5347781841863,333.6928352758691
0,experiment,197600,200.0,-1255.4538624329305,301.41152042313513
0,experiment,200200,200.0,-1200.3014335446446,347.03531154539684
0,experiment,202800,200.0,-1227.31030917742,282.67956481681506
0,experiment,205400,200.0,-1206.3169633228295,360.36867092071566
0,experiment,208000,200.0,-1333.3078070971703,283.5329678032168
0,experiment,210600,200.0,-1371.6625462806126,310.3218893777537
0,experiment,213200,200.0,-1275.4608593754817,215.46023330220368
0,experiment,215800,200.0,-1183.961463652042,328.35643070232817
0,experiment,218400,200.0,-1256.7179586780785,339.2683149949873
0,experiment,221000,200.0,-1114.892194707118,256.43547145210846
0,experiment,223600,200.0,-1148.2363028693019,233.8616823472827
0,experiment,226200,200.0,-1223.9578002315936,249.5346322226887
0,experiment,228800,200.0,-1290.8697437525766,389.90934856361764
0,experiment,231400,200.0,-1161.0370679124687,304.65122866509495
0,experiment,234000,200.0,-1160.4307514521984,214.39085149017984
0,experiment,236600,200.0,-1122.0533042506718,254.42814982992886
0,experiment,239200,200.0,-1253.710545748778,253.09745329098698
0,experiment,241800,200.0,-1226.3766035262142,300.65597366814677
0,experiment,244400,200.0,-1175.688633954106,195.45872576785612
0,experiment,247000,200.0,-1233.6007516427417,196.5415255840802
0,experiment,249600,200.0,-1231.6956960865498,241.1099600980761
0,experiment,252200,200.0,-1335.738727522956,275.3316638954771
0,experiment,254800,200.0,-1162.3060230349975,124.99274539872768
0,experiment,257400,200.0,-1217.3362460159076,197.6580517085794
0,experiment,260000,200.0,-1301.801684418504,211.56620900511564
0,experiment,262600,200.0,-1259.4208661788732,90.63948720582181
0,experiment,265200,200.0,-1309.3256740276645,199.35434110472715
0,experiment,267800,200.0,-1350.5341008686728,280.6533855310534
0,experiment,270400,200.0,-1374.4900057818863,192.82700318733472
0,experiment,273000,200.0,-1297.1519776749108,109.51645447792126
0,experiment,275600,200.0,-1365.868391517477,195.569380744621
0,experiment,278200,200.0,-1382.6982837108667,150.54964024479742
0,experiment,280800,200.0,-1353.251658576133,180.97145880588798
0,experiment,283400,200.0,-1387.7986248747932,167.70934334022405
0,experiment,286000,200.0,-1301.6320658310885,114.21617678849947
0,experiment,288600,200.0,-1347.7163924947695,83.75443893186355
