,experiment,timestep,mean episodic runtime,mean episodic length,eval episodes,mean episodic returns,min episodic returns,max episodic returns,std episodic returns,episodes
0,exp_name: takeoff-aviary-v0_2023-01-18,2079,0.056431,207.9,10,-213.566945,-259.56452,-165.077749,31.93451,0
1,exp_name: takeoff-aviary-v0_2023-01-18,4238,0.065805,239.888889,9,-247.586287,-308.250438,-151.336051,58.261147,1
2,exp_name: takeoff-aviary-v0_2023-01-18,6585,0.070854,260.777778,9,-296.733622,-866.496618,-171.478153,207.419141,2
3,exp_name: takeoff-aviary-v0_2023-01-18,8720,0.058075,213.5,10,-220.763212,-292.176014,-177.676724,35.833493,3
0,exp_name: takeoff-aviary-v0_2023-01-18,10799,0.053783,189.0,11,-205.599259,-278.123585,-173.815069,27.584123,4
1,exp_name: takeoff-aviary-v0_2023-01-18,12891,0.072664,261.5,8,-322.704749,-729.972804,-176.453646,221.570011,5
2,exp_name: takeoff-aviary-v0_2023-01-18,15046,0.058579,215.5,10,-221.95839,-355.328926,-142.038761,65.731388,6
3,exp_name: takeoff-aviary-v0_2023-01-18,17105,0.053923,205.9,10,-212.525611,-305.323207,-187.178102,33.255444,7
4,exp_name: takeoff-aviary-v0_2023-01-18,19290,0.074321,273.125,8,-294.245979,-652.594601,-180.124852,141.633852,8
0,exp_name: takeoff-aviary-v0_2023-01-18,21428,0.067799,237.555556,9,-237.592313,-416.914444,-172.287841,71.745664,9
1,exp_name: takeoff-aviary-v0_2023-01-18,23614,0.058548,218.6,10,-223.980484,-287.941487,-173.032056,38.211636,10
2,exp_name: takeoff-aviary-v0_2023-01-18,25701,0.055612,208.7,10,-214.478344,-308.612588,-154.725267,48.182744,11
3,exp_name: takeoff-aviary-v0_2023-01-18,27772,0.056605,207.1,10,-209.854054,-257.493784,-147.6873,36.042209,12
4,exp_name: takeoff-aviary-v0_2023-01-18,29875,0.061456,233.666667,9,-230.498742,-290.611266,-182.957676,39.30498,13
5,exp_name: takeoff-aviary-v0_2023-01-18,32034,0.056242,215.9,10,-249.033425,-710.695907,-144.436441,162.474722,14
6,exp_name: takeoff-aviary-v0_2023-01-18,34118,0.064968,231.555556,9,-267.291185,-832.069536,-155.532051,201.256271,15
7,exp_name: takeoff-aviary-v0_2023-01-18,36176,0.053848,205.8,10,-229.54784,-560.366743,-143.157569,136.594423,16
8,exp_name: takeoff-aviary-v0_2023-01-18,38369,0.046925,168.692308,13,-175.514214,-325.110807,-143.133928,45.900024,17
9,exp_name: takeoff-aviary-v0_2023-01-18,40568,0.050181,169.153846,13,-177.403047,-251.559789,-146.240147,32.204442,18
10,exp_name: takeoff-aviary-v0_2023-01-18,42622,0.060672,228.222222,9,-244.410998,-582.900811,-148.797986,125.716889,19
11,exp_name: takeoff-aviary-v0_2023-01-18,44848,0.049679,185.5,12,-184.453874,-326.88335,-140.485741,49.165568,20
12,exp_name: takeoff-aviary-v0_2023-01-18,46911,0.047021,171.916667,12,-176.304108,-206.095267,-154.291637,16.627523,21
13,exp_name: takeoff-aviary-v0_2023-01-18,49075,0.044379,166.461538,13,-170.281668,-238.856668,-134.639838,31.907204,22
14,exp_name: takeoff-aviary-v0_2023-01-18,51163,0.0474,174.0,12,-179.554796,-411.197743,-139.063478,71.182928,23
15,exp_name: takeoff-aviary-v0_2023-01-18,53532,0.051688,197.416667,12,-197.101728,-342.268125,-139.961928,69.905071,24
16,exp_name: takeoff-aviary-v0_2023-01-18,55825,0.066069,254.777778,9,-302.574696,-1385.869398,-135.416731,386.169284,25
17,exp_name: takeoff-aviary-v0_2023-01-18,57889,0.051916,187.636364,11,-183.075438,-287.834822,-132.082446,58.457188,26
18,exp_name: takeoff-aviary-v0_2023-01-18,60026,0.063538,237.444444,9,-294.227767,-854.717079,-126.138052,277.683436,27
19,exp_name: takeoff-aviary-v0_2023-01-18,62086,0.041706,158.461538,13,-165.481616,-332.955898,-119.811686,54.272139,28
20,exp_name: takeoff-aviary-v0_2023-01-18,64252,0.045495,144.4,15,-148.547023,-175.057997,-124.31651,13.494902,29
21,exp_name: takeoff-aviary-v0_2023-01-18,66396,0.043916,164.923077,13,-165.002797,-212.081516,-141.672949,17.482371,30
22,exp_name: takeoff-aviary-v0_2023-01-18,68884,0.074041,276.444444,9,-334.000458,-1076.622925,-135.237682,299.928354,31
23,exp_name: takeoff-aviary-v0_2023-01-18,70947,0.050713,187.545455,11,-189.479581,-336.256413,-141.618093,54.698523,32
24,exp_name: takeoff-aviary-v0_2023-01-18,73161,0.05299,201.272727,11,-209.552848,-497.449033,-150.766751,94.231426,33
25,exp_name: takeoff-aviary-v0_2023-01-18,75306,0.048662,178.75,12,-178.947649,-206.95029,-143.935088,19.785494,34
26,exp_name: takeoff-aviary-v0_2023-01-18,77393,0.049995,189.727273,11,-197.707746,-320.110882,-143.897399,57.196084,35
27,exp_name: takeoff-aviary-v0_2023-01-18,79641,0.046333,172.923077,13,-176.897843,-229.424075,-144.962314,28.554053,36
28,exp_name: takeoff-aviary-v0_2023-01-18,81735,0.06866,232.666667,9,-262.94202,-679.160509,-152.686456,151.05173,37
29,exp_name: takeoff-aviary-v0_2023-01-18,83882,0.05144,195.181818,11,-196.823583,-294.000494,-135.683122,52.991601,38
30,exp_name: takeoff-aviary-v0_2023-01-18,86038,0.062982,239.555556,9,-290.591468,-829.420032,-135.124758,204.735928,39
31,exp_name: takeoff-aviary-v0_2023-01-18,88303,0.090878,323.571429,7,-418.46658,-1172.530664,-154.536606,349.597321,40
32,exp_name: takeoff-aviary-v0_2023-01-18,90376,0.060013,230.333333,9,-281.984613,-955.399892,-141.193737,250.266817,41
33,exp_name: takeoff-aviary-v0_2023-01-18,92554,0.056705,217.8,10,-247.298917,-842.016618,-144.391033,205.645488,42
34,exp_name: takeoff-aviary-v0_2023-01-18,94829,0.062673,227.5,10,-262.056693,-813.682385,-133.724293,194.146224,43
35,exp_name: takeoff-aviary-v0_2023-01-18,96910,0.047173,173.416667,12,-177.873291,-247.401583,-147.184702,29.320744,44
0,exp_name: takeoff-aviary-v0_2023-01-18,99056,0.044238,165.076923,13,-167.242452,-255.533612,-124.936234,37.367293,45
1,exp_name: takeoff-aviary-v0_2023-01-18,101263,0.046093,169.769231,13,-171.999306,-288.668434,-136.382978,38.63677,46
2,exp_name: takeoff-aviary-v0_2023-01-18,103410,0.061944,238.555556,9,-261.313856,-836.857818,-144.784996,207.3886,47
0,exp_name: takeoff-aviary-v0_2023-01-18,105612,0.084763,314.571429,7,-385.727388,-884.085139,-180.301257,250.815785,48
1,exp_name: takeoff-aviary-v0_2023-01-18,107775,0.06711,240.333333,9,-284.103569,-893.052218,-152.302514,226.469698,49
2,exp_name: takeoff-aviary-v0_2023-01-18,109932,0.063147,239.666667,9,-268.309912,-694.961108,-151.785841,164.3826,50
3,exp_name: takeoff-aviary-v0_2023-01-18,112101,0.065199,241.0,9,-282.014076,-1085.741967,-139.438178,285.552459,51
4,exp_name: takeoff-aviary-v0_2023-01-18,114193,0.068163,261.5,8,-313.524441,-1039.672044,-157.044776,280.899139,52
5,exp_name: takeoff-aviary-v0_2023-01-18,116377,0.071074,273.0,8,-323.34771,-1063.875812,-163.317133,283.753971,53
6,exp_name: takeoff-aviary-v0_2023-01-18,118438,0.078311,294.428571,7,-334.354307,-1036.972996,-173.271871,287.975213,54
7,exp_name: takeoff-aviary-v0_2023-01-18,120906,0.093348,352.571429,7,-471.946304,-1075.258158,-155.304687,383.943206,55
8,exp_name: takeoff-aviary-v0_2023-01-18,123107,0.051973,200.090909,11,-210.546317,-375.789159,-150.978036,63.423371,56
9,exp_name: takeoff-aviary-v0_2023-01-18,125193,0.047452,173.833333,12,-178.901039,-312.622967,-147.047338,43.707206,57
10,exp_name: takeoff-aviary-v0_2023-01-18,127966,0.060154,231.083333,12,-258.890381,-1146.721987,-143.301856,269.255583,58
11,exp_name: takeoff-aviary-v0_2023-01-18,130180,0.048097,184.5,12,-202.748819,-680.275734,-145.620093,144.336167,59
0,exp_name: takeoff-aviary-v0_2023-01-18,132228,0.057408,204.8,10,-222.16202,-603.662857,-160.263643,130.031908,60
1,exp_name: takeoff-aviary-v0_2023-01-18,134281,0.076134,293.285714,7,-367.661157,-1029.071158,-145.078543,296.042554,61
2,exp_name: takeoff-aviary-v0_2023-01-18,136366,0.049494,189.545455,11,-215.284869,-762.528284,-144.220584,173.352769,62
3,exp_name: takeoff-aviary-v0_2023-01-18,138572,0.076267,275.75,8,-337.042869,-880.527226,-157.94799,254.974648,63
4,exp_name: takeoff-aviary-v0_2023-01-18,140769,0.056817,219.7,10,-241.560003,-763.339839,-147.743562,177.558827,64
5,exp_name: takeoff-aviary-v0_2023-01-18,143374,0.068179,260.5,10,-307.831454,-864.363075,-154.194845,229.129873,65
6,exp_name: takeoff-aviary-v0_2023-01-18,145448,0.062902,230.444444,9,-243.419439,-403.584443,-153.368849,88.964287,66
7,exp_name: takeoff-aviary-v0_2023-01-18,147568,0.068402,265.0,8,-299.370406,-812.680959,-164.953444,201.954815,67
8,exp_name: takeoff-aviary-v0_2023-01-18,149882,0.066986,257.111111,9,-287.150945,-931.497502,-171.44657,230.220251,68
9,exp_name: takeoff-aviary-v0_2023-01-18,152363,0.073832,275.666667,9,-314.422261,-986.288507,-167.919987,239.798263,69
10,exp_name: takeoff-aviary-v0_2023-01-18,154726,0.068372,262.555556,9,-304.575897,-1208.313161,-136.708449,321.431375,70
