,experiment,timestep,mean episodic runtime,mean episodic length,mean episodic returns,min episodic returns,max episodic returns,std episodic returns
0,"exp_name: Pendulum-v1_2023-01-12 (seperate network, actor-critic advantage)",90200,0.035513,200.0,-1451.709275,-1847.275236,-793.189637,343.371658
0,"exp_name: Pendulum-v1_2023-01-12 (seperate network, actor-critic advantage)",92400,0.035819,200.0,-1292.309067,-1630.947362,-859.8276,252.34873
0,"exp_name: Pendulum-v1_2023-01-12 (seperate network, actor-critic advantage)",94600,0.035638,200.0,-1255.344359,-1675.679652,-898.824861,282.737971
0,"exp_name: Pendulum-v1_2023-01-12 (seperate network, actor-critic advantage)",96800,0.03685,200.0,-1217.506862,-1508.532077,-874.200748,184.414066
0,"exp_name: Pendulum-v1_2023-01-12 (seperate network, actor-critic advantage)",99000,0.039687,200.0,-1218.112054,-1823.319299,-895.776607,305.390202
0,"exp_name: Pendulum-v1_2023-01-12 (seperate network, actor-critic advantage)",101200,0.03671,200.0,-1201.753611,-1431.727196,-978.120833,144.663131
0,"exp_name: Pendulum-v1_2023-01-12 (seperate network, actor-critic advantage)",103400,0.036666,200.0,-1233.638479,-1771.545415,-897.072015,317.127272
0,"exp_name: Pendulum-v1_2023-01-12 (seperate network, actor-critic advantage)",105600,0.036548,200.0,-1206.692634,-1671.575132,-787.334729,251.767614
0,"exp_name: Pendulum-v1_2023-01-12 (seperate network, actor-critic advantage)",107800,0.036474,200.0,-1157.934908,-1426.167616,-918.771111,144.196334
0,"exp_name: Pendulum-v1_2023-01-12 (seperate network, actor-critic advantage)",110000,0.036955,200.0,-1218.751512,-1676.678382,-936.749245,259.877801
0,"exp_name: Pendulum-v1_2023-01-12 (seperate network, actor-critic advantage)",112200,0.039022,200.0,-1171.478795,-1594.200195,-979.569456,184.561976
0,"exp_name: Pendulum-v1_2023-01-12 (seperate network, actor-critic advantage)",114400,0.036521,200.0,-1143.88136,-1821.389117,-749.828122,256.755906
0,"exp_name: Pendulum-v1_2023-01-12 (seperate network, actor-critic advantage)",116600,0.036184,200.0,-1155.399799,-1830.710859,-872.970181,275.387448
0,"exp_name: Pendulum-v1_2023-01-12 (seperate network, actor-critic advantage)",118800,0.036341,200.0,-1202.952942,-1559.892006,-884.364704,218.627524
0,"exp_name: Pendulum-v1_2023-01-12 (seperate network, actor-critic advantage)",121000,0.036592,200.0,-1143.483243,-1607.016471,-729.326059,277.084704
0,"exp_name: Pendulum-v1_2023-01-12 (seperate network, actor-critic advantage)",123200,0.038824,200.0,-1119.065871,-1717.542266,-859.594048,296.512178
0,"exp_name: Pendulum-v1_2023-01-12 (seperate network, actor-critic advantage)",125400,0.03921,200.0,-1160.854229,-1787.729699,-757.075587,341.045966
0,"exp_name: Pendulum-v1_2023-01-12 (seperate network, actor-critic advantage)",127600,0.036053,200.0,-1158.103339,-1824.13064,-798.709814,347.77063
0,"exp_name: Pendulum-v1_2023-01-12 (seperate network, actor-critic advantage)",129800,0.036781,200.0,-1197.343924,-1699.542715,-854.088804,277.021284
0,"exp_name: Pendulum-v1_2023-01-12 (seperate network, actor-critic advantage)",132000,0.036452,200.0,-1355.736802,-1841.4693,-751.024536,360.298754
0,"exp_name: Pendulum-v1_2023-01-12 (seperate network, actor-critic advantage)",134200,0.036881,200.0,-1138.662048,-1602.774297,-853.480819,267.491242
0,"exp_name: Pendulum-v1_2023-01-12 (seperate network, actor-critic advantage)",136400,0.037327,200.0,-1117.918453,-1754.567617,-893.209498,230.728326
0,"exp_name: Pendulum-v1_2023-01-12 (seperate network, actor-critic advantage)",138600,0.039058,200.0,-1119.419796,-1735.760636,-634.618822,307.47424
