,experiment,timestep,mean episodic length,mean episodic returns,std episodic returns
0,experiment,228800,200.0,-1256.3199171224503,312.57312499820216
0,experiment,231000,200.0,-1154.9289836985797,200.194705210693
0,experiment,233200,200.0,-1091.364271207901,144.4222560998916
0,experiment,235400,200.0,-1080.6052936393244,155.61488642363904
0,experiment,237600,200.0,-1137.4798428388876,203.2228029341523
0,experiment,239800,200.0,-1094.1030244214064,239.88562746869354
0,experiment,242000,200.0,-1193.2416435870743,296.092393590574
0,experiment,244200,200.0,-1104.4912854947133,221.8029322435128
0,experiment,246400,200.0,-1126.4060503872574,207.96891078842137
0,experiment,248600,200.0,-1260.5091673423863,262.8783523185099
0,experiment,250800,200.0,-1177.4794688626573,306.3892620623478
0,experiment,253000,200.0,-1119.9423391243126,250.02156864369277
0,experiment,255200,200.0,-1109.0334217795946,174.33198000261808
0,experiment,257400,200.0,-1102.2468688050913,252.78011492776997
0,experiment,259600,200.0,-1197.2925653198931,289.65541216541277
0,experiment,261800,200.0,-1112.7271573208573,219.41556949568138
0,experiment,264000,200.0,-1066.718992749889,190.9265585995446
0,experiment,266200,200.0,-1159.4942604557289,344.2251475041859
0,experiment,268400,200.0,-1207.9393798108613,257.3456334535314
0,experiment,270600,200.0,-1176.4263861496827,326.34571173162095
0,experiment,272800,200.0,-1036.5253479103542,185.5659598913257
0,experiment,275000,200.0,-1188.9462097403969,303.83611835548334
0,experiment,277200,200.0,-1143.464932182461,247.8079925243629
0,experiment,279400,200.0,-991.8894986513486,194.2003241641616
0,experiment,281600,200.0,-1195.2828043647633,286.7477151998101
0,experiment,283800,200.0,-1158.4105884652406,315.89722724035823
0,experiment,286000,200.0,-1140.7560287643535,167.41980964432958
0,experiment,288200,200.0,-1029.5673888727213,107.56436956875076
0,experiment,290400,200.0,-1189.83885014031,226.304009442668
0,experiment,292600,200.0,-1191.1274370556132,147.04182440659923
0,experiment,294800,200.0,-1311.9850261645145,239.82842995571548
0,experiment,297000,200.0,-1094.3516709816797,279.1906578641106
0,experiment,299200,200.0,-1091.8377623983258,299.5470531220014
0,experiment,301400,200.0,-1050.100255301183,224.35385765713784
0,experiment,303600,200.0,-1079.2189010662996,195.13173291904454
0,experiment,305800,200.0,-1290.140996130248,252.11095349858195
0,experiment,308000,200.0,-1255.961801855251,262.3699010142335
0,experiment,310200,200.0,-1099.2922870721784,231.23047793386934
0,experiment,312400,200.0,-1147.642021951584,275.6475508633145
0,experiment,314600,200.0,-1026.5657921138493,154.38043726850924
0,experiment,316800,200.0,-1126.714460514289,190.8552707459117
0,experiment,319000,200.0,-1081.759176738884,219.82012905850573
0,experiment,321200,200.0,-1014.8852715943747,248.23666081559034
0,experiment,323400,200.0,-1078.6333225101685,247.34452319524448
0,experiment,325600,200.0,-1311.8982111441992,291.1164147729277
0,experiment,327800,200.0,-1160.4643595503078,192.88563549451993
0,experiment,330000,200.0,-1057.8364049096656,287.7103178970448
0,experiment,332200,200.0,-1102.5893736321013,289.44771889290075
0,experiment,334400,200.0,-1026.3337845962174,154.78493101376364
0,experiment,336600,200.0,-1096.1544255428055,286.44558970062775
0,experiment,338800,200.0,-1245.816670646839,305.3957647147582
0,experiment,341000,200.0,-1121.1060581110482,207.4250433377141
0,experiment,343200,200.0,-1024.5921938980987,222.9011057214404
0,experiment,345400,200.0,-1074.8264307613397,211.64145831875186
0,experiment,347600,200.0,-1088.5273785259626,237.26461281145933
0,experiment,349800,200.0,-1066.6291440462176,280.73923483577283
0,experiment,352000,200.0,-1059.2852584521022,191.97828852930547
0,experiment,354200,200.0,-1191.8311131572782,220.5888191474866
0,experiment,356400,200.0,-1044.6060645656719,207.68717841434741
0,experiment,358600,200.0,-1047.0471068163295,143.25454751873707
0,experiment,360800,200.0,-1060.6913211142562,156.89476878750492
0,experiment,363000,200.0,-1100.126279750876,201.84388693695792
0,experiment,365200,200.0,-1248.5229566736807,286.36196615590717
0,experiment,367400,200.0,-1052.8292545884553,213.59332902373836
0,experiment,369600,200.0,-1056.6376929769172,131.37073590069323
0,experiment,371800,200.0,-1083.9702911977895,139.3730408067927
0,experiment,374000,200.0,-995.2185071000994,202.4087081796458
0,experiment,376200,200.0,-1032.4234004287537,149.02823515674734
0,experiment,378400,200.0,-1065.9134048879287,109.0768632648681
