,experiment,timestep,mean episodic runtime,mean episodic length,eval episodes,mean episodic returns,min episodic returns,max episodic returns,std episodic returns
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",2200,0.036515,200.0,11,-1224.634815,-1633.46679,-739.713681,293.073728
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",4400,0.03628,200.0,11,-1460.150473,-1714.888198,-1190.589204,168.187722
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",6600,0.037935,200.0,11,-1388.468955,-1727.598728,-812.694652,312.270634
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",8800,0.037778,200.0,11,-1101.874772,-1398.157257,-758.102811,216.25618
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",11000,0.035832,200.0,11,-1151.349616,-1868.6474,-867.215153,282.286452
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",13200,0.03556,200.0,11,-1087.977959,-1745.467656,-657.895783,278.876695
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",15400,0.035437,200.0,11,-1348.753292,-1751.308194,-900.630443,328.976794
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",17600,0.036784,200.0,11,-1218.392967,-1630.786085,-924.510747,240.637236
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",19800,0.037419,200.0,11,-1122.226564,-1697.095932,-886.52394,225.083126
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",22000,0.035334,200.0,11,-1185.373676,-1482.104676,-963.48833,168.53116
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",24200,0.035167,200.0,11,-1191.891508,-1705.624624,-993.366797,245.410678
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",26400,0.035257,200.0,11,-1204.61063,-1815.879343,-917.531315,261.720468
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",28600,0.036093,200.0,11,-1276.009103,-1737.290763,-933.232252,274.998637
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",30800,0.038743,200.0,11,-1100.556738,-1737.133594,-901.180594,221.626656
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",33000,0.035509,200.0,11,-1194.369916,-1509.504486,-930.406184,205.633562
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",35200,0.035067,200.0,11,-1170.513721,-1800.585132,-991.973963,225.248808
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",37400,0.039372,200.0,11,-1181.044815,-1754.019642,-869.707564,263.547151
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",39600,0.038737,200.0,11,-1091.289607,-1445.363833,-766.44317,195.171501
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",41800,0.038709,200.0,11,-1246.598554,-1539.147921,-1004.916299,200.526496
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",44000,0.038168,200.0,11,-1163.865709,-1474.087973,-919.978898,159.776437
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",46200,0.038102,200.0,11,-1177.770587,-1455.935753,-921.757151,134.172644
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",48400,0.036536,200.0,11,-1159.838057,-1487.717241,-920.754399,151.808884
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",50600,0.03533,200.0,11,-1150.28018,-1470.850697,-902.448568,166.151879
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",52800,0.037285,200.0,11,-1210.031766,-1586.256081,-918.749996,218.929799
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",55000,0.03703,200.0,11,-1038.346585,-1339.226093,-874.759607,122.263422
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",57200,0.035377,200.0,11,-1147.887169,-1573.347438,-777.21051,249.242894
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",59400,0.03522,200.0,11,-1158.396546,-1506.981478,-943.692105,211.630267
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",61600,0.035216,200.0,11,-1087.511615,-1344.904863,-917.025426,126.532313
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",63800,0.036282,200.0,11,-1280.79365,-1616.018644,-1096.005108,135.018023
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",66000,0.0391,200.0,11,-1111.249534,-1401.862846,-842.540584,145.484512
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",68200,0.035375,200.0,11,-1197.237631,-1635.311903,-1012.582077,170.1679
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",70400,0.035526,200.0,11,-1153.126721,-1370.617236,-897.855126,122.810963
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",72600,0.035334,200.0,11,-1186.95327,-1574.269127,-906.362771,167.605467
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",74800,0.035455,200.0,11,-1197.929431,-1336.857384,-968.475994,101.124149
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",77000,0.039082,200.0,11,-1229.842416,-1484.234739,-953.520867,138.633458
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",79200,0.035843,200.0,11,-1265.251997,-1763.085888,-915.88601,201.894777
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",81400,0.035217,200.0,11,-1260.054356,-1626.897348,-1039.418609,182.651614
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",83600,0.035435,200.0,11,-1284.226257,-1458.10813,-1150.133547,91.793086
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",85800,0.035335,200.0,11,-1213.829496,-1468.676985,-1032.444535,140.005522
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",88000,0.038112,200.0,11,-1283.675272,-1575.984338,-1055.27594,152.020387
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",90200,0.038048,200.0,11,-1289.31555,-1575.254464,-1040.771727,149.125632
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",92400,0.037784,200.0,11,-1205.344866,-1312.404851,-1040.061906,74.308007
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",94600,0.035659,200.0,11,-1236.477888,-1336.298295,-1105.23768,68.597248
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",96800,0.035762,200.0,11,-1230.452538,-1297.565766,-1141.676832,55.359217
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",99000,0.03633,200.0,11,-1296.610214,-1368.632723,-1165.136087,66.572554
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",101200,0.038202,200.0,11,-1270.712356,-1381.519097,-1153.029552,72.831478
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",103400,0.035267,200.0,11,-1322.476271,-1407.541189,-1210.101707,68.051632
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",105600,0.034979,200.0,11,-1278.023917,-1393.046332,-1116.301477,85.416301
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",107800,0.035491,200.0,11,-1230.226655,-1392.07567,-1049.167402,101.251592
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",110000,0.035102,200.0,11,-1319.329471,-1424.887431,-1173.639046,83.61866
