,experiment,timestep,mean episodic runtime,mean episodic length,eval episodes,mean episodic returns,min episodic returns,max episodic returns,std episodic returns,episodes
0,exp_name: takeoff-aviary-v0_2023-01-19,2343,0.069646,260.333333,9,-264.041961,-435.174796,-164.33744,76.232979,0
1,exp_name: takeoff-aviary-v0_2023-01-19,4650,0.057981,209.727273,11,-223.199386,-334.38909,-152.384825,49.502758,1
0,exp_name: takeoff-aviary-v0_2023-01-19,6754,0.063279,233.777778,9,-251.500062,-439.16729,-165.144954,84.069544,2
1,exp_name: takeoff-aviary-v0_2023-01-19,8809,0.054864,205.5,10,-206.815426,-277.055065,-168.179004,37.700169,3
2,exp_name: takeoff-aviary-v0_2023-01-19,10888,0.055744,207.9,10,-219.955144,-342.682636,-158.131904,53.060617,4
3,exp_name: takeoff-aviary-v0_2023-01-19,13040,0.050921,195.636364,11,-210.627463,-375.380808,-165.821839,56.317725,5
0,exp_name: takeoff-aviary-v0_2023-01-19,15113,0.050453,188.454545,11,-198.236969,-246.61726,-161.303861,23.567909,6
1,exp_name: takeoff-aviary-v0_2023-01-19,17185,0.045342,172.666667,12,-190.670339,-297.5014,-141.741776,48.67241,7
2,exp_name: takeoff-aviary-v0_2023-01-19,19290,0.040554,150.357143,14,-160.410838,-217.63054,-133.460568,21.228609,8
0,exp_name: takeoff-aviary-v0_2023-01-19,21376,0.041424,160.461538,13,-175.221737,-218.719967,-145.830951,22.046194,9
1,exp_name: takeoff-aviary-v0_2023-01-19,23428,0.038766,146.571429,14,-156.449248,-208.610479,-133.721097,19.710197,10
2,exp_name: takeoff-aviary-v0_2023-01-19,25616,0.04337,156.285714,14,-168.9182,-224.592756,-130.614449,28.118932,11
3,exp_name: takeoff-aviary-v0_2023-01-19,27804,0.033396,128.705882,17,-139.205551,-165.205977,-125.317401,11.718703,12
4,exp_name: takeoff-aviary-v0_2023-01-19,29980,0.034226,128.0,17,-136.319141,-165.142564,-119.652462,12.841399,13
0,exp_name: takeoff-aviary-v0_2023-01-19,32040,0.036585,128.75,16,-136.581989,-146.182915,-123.493176,6.109458,14
0,exp_name: takeoff-aviary-v0_2023-01-19,34104,0.03604,129.0,16,-136.965311,-146.225945,-123.214563,5.863052,15
1,exp_name: takeoff-aviary-v0_2023-01-19,36240,0.034512,125.647059,17,-134.143171,-156.591983,-119.781673,9.397521,16
0,exp_name: takeoff-aviary-v0_2023-01-19,38342,0.033387,123.647059,17,-132.177951,-143.609329,-121.168267,6.174244,17
1,exp_name: takeoff-aviary-v0_2023-01-19,40457,0.032582,117.5,18,-126.709889,-140.918024,-116.869556,6.160156,18
2,exp_name: takeoff-aviary-v0_2023-01-19,42520,0.03233,114.611111,18,-123.326449,-132.17007,-117.675773,4.413313,19
