,mean episodic length,mean episodic rewards,timestep
0,200.0,-1160.7223785411968,192400
0,200.0,-1289.641510786464,195000
0,200.0,-1215.604485306338,197600
0,200.0,-1190.0238297369895,200200
0,200.0,-1119.0944577139444,202800
0,200.0,-1162.33154515127,205400
0,200.0,-1250.3121439727659,208000
0,200.0,-1287.9695707366334,210600
0,200.0,-1150.6357867095387,213200
0,200.0,-1165.2494321824952,215800
0,200.0,-1222.3781584653739,218400
0,200.0,-1080.8473785268495,221000
0,200.0,-1098.6300440255943,223600
0,200.0,-1151.394782040564,226200
0,200.0,-1256.8009102949031,228800
0,200.0,-1155.1129903411277,231400
0,200.0,-1127.8117404635518,234000
0,200.0,-1108.183657548638,236600
0,200.0,-1135.8083971735532,239200
0,200.0,-1149.0044225425381,241800
0,200.0,-1113.372440416346,244400
0,200.0,-1185.6397863397322,247000
0,200.0,-1176.1644871162475,249600
0,200.0,-1304.4207336048412,252200
0,200.0,-1100.7294870710762,254800
0,200.0,-1204.582510098527,257400
0,200.0,-1236.48505277847,260000
0,200.0,-1189.1658824297097,262600
0,200.0,-1216.5374751376007,265200
0,200.0,-1258.4035417723587,267800
0,200.0,-1219.6734658937241,270400
0,200.0,-1086.8854734101617,273000
0,200.0,-1219.3561172673888,275600
0,200.0,-1192.8693100435428,278200
0,200.0,-1244.4702109754714,280800
0,200.0,-1274.2185839438969,283400
0,200.0,-1203.304128141326,286000
0,200.0,-1133.3355412886315,288600
0,200.0,-1259.0887152098962,291200
0,200.0,-1364.361959529551,293800
0,200.0,-1224.5069707491607,296400
0,200.0,-1195.883504283227,299000
0,200.0,-1183.7257508332507,301600
0,200.0,-1232.1838895383937,304200
0,200.0,-1315.66300963493,306800
0,200.0,-1312.2959609207742,309400
0,200.0,-1299.6545842832602,312000
0,200.0,-1084.74690609398,314600
0,200.0,-1190.421980741338,317200
0,200.0,-1202.2434356030344,319800
0,200.0,-1103.632645034724,322400
0,200.0,-1248.4360879522542,325000
0,200.0,-1292.6157364046655,327600
0,200.0,-1222.8576980132884,330200
0,200.0,-1149.9063745406058,332800
0,200.0,-1241.4352181167828,335400
0,200.0,-1242.1845179535032,338000
0,200.0,-1290.179034298491,340600
0,200.0,-1167.1583221101714,343200
0,200.0,-1165.5967537019485,345800
0,200.0,-1183.4422966223058,348400
0,200.0,-1182.9574741856839,351000
0,200.0,-1203.9346294087072,353600
0,200.0,-1190.108665924526,356200
0,200.0,-1189.9530300429806,358800
0,200.0,-1172.5652253036876,361400
0,200.0,-1208.4456561736251,364000
0,200.0,-1207.854439620586,366600
0,200.0,-1096.1174210859763,369200
0,200.0,-1134.4816377665861,371800
0,200.0,-1133.079102012341,374400
0,200.0,-1038.5061453139833,377000
0,200.0,-1129.6386651948417,379600
0,200.0,-1124.2848750555536,382200
0,200.0,-1199.583278600073,384800
0,200.0,-1313.0437144895075,387400
0,200.0,-1201.4859493755034,390000
0,200.0,-1265.8498371653418,392600
0,200.0,-1109.7676400370574,395200
0,200.0,-1134.6905721087983,397800
0,200.0,-1119.775801145196,400400
0,200.0,-987.760369856648,403000
0,200.0,-1124.5188174879015,405600
0,200.0,-1252.2362075099527,408200
0,200.0,-1122.0918231230883,410800
0,200.0,-1052.064016892529,413400
0,200.0,-1160.5695592973532,416000
0,200.0,-1102.0305640798263,418600
0,200.0,-1001.4554561864836,421200
0,200.0,-1089.022518668197,423800
0,200.0,-1152.947261401896,426400
