,experiment,timestep,mean episodic runtime,mean episodic length,eval episodes,mean episodic returns,min episodic returns,max episodic returns,std episodic returns,episodes
0,exp_name: takeoff-aviary-v0_2023-01-19,2094,0.081276,232.666667,9,-10.540074,-22.26429,-6.12679,4.71019,0
1,exp_name: takeoff-aviary-v0_2023-01-19,4312,0.090523,246.444444,9,-9.382237,-16.467676,-6.628784,2.875623,1
2,exp_name: takeoff-aviary-v0_2023-01-19,6494,0.073594,218.2,10,-8.076625,-11.355881,-6.558732,1.422944,2
3,exp_name: takeoff-aviary-v0_2023-01-19,8598,0.07293,210.4,10,-8.126685,-11.59798,-6.154909,1.665242,3
4,exp_name: takeoff-aviary-v0_2023-01-19,10649,0.08671,256.375,8,-9.677292,-11.81307,-7.18257,1.393807,4
5,exp_name: takeoff-aviary-v0_2023-01-19,12748,0.070035,209.9,10,-8.01757,-12.399914,-5.813896,1.728541,5
6,exp_name: takeoff-aviary-v0_2023-01-19,14802,0.071503,205.4,10,-8.215557,-12.697123,-6.567895,1.681672,6
7,exp_name: takeoff-aviary-v0_2023-01-19,16954,0.060233,179.333333,12,-7.169245,-9.249253,-5.651336,0.965941,7
8,exp_name: takeoff-aviary-v0_2023-01-19,19143,0.074212,218.9,10,-8.545285,-13.745516,-6.168491,2.108636,8
9,exp_name: takeoff-aviary-v0_2023-01-19,21365,0.071319,202.0,11,-7.88239,-9.80204,-5.947262,1.254615,9
10,exp_name: takeoff-aviary-v0_2023-01-19,23434,0.065016,188.090909,11,-7.284261,-9.35003,-6.363153,0.858811,10
11,exp_name: takeoff-aviary-v0_2023-01-19,25486,0.06371,186.545455,11,-7.33969,-9.762176,-5.99609,1.16286,11
12,exp_name: takeoff-aviary-v0_2023-01-19,27548,0.073928,206.2,10,-8.053429,-10.522188,-6.159844,1.351249,12
13,exp_name: takeoff-aviary-v0_2023-01-19,29668,0.067761,192.727273,11,-7.52142,-9.405956,-6.424313,1.006372,13
