,experiment,timestep,mean episodic runtime,mean episodic length,eval episodes,mean episodic returns,min episodic returns,max episodic returns,std episodic returns,episodes
0,exp_name: takeoff-aviary-v0_2023-01-19,2343,0.079936,260.333333,9,-264.041961,-435.174796,-164.33744,76.232979,0
1,exp_name: takeoff-aviary-v0_2023-01-19,4650,0.065507,209.727273,11,-223.199386,-334.38909,-152.384825,49.502758,1
0,exp_name: takeoff-aviary-v0_2023-01-19,6754,0.073235,233.777778,9,-251.500062,-439.16729,-165.144954,84.069544,2
1,exp_name: takeoff-aviary-v0_2023-01-19,8809,0.063718,205.5,10,-206.815426,-277.055065,-168.179004,37.700169,3
2,exp_name: takeoff-aviary-v0_2023-01-19,10888,0.060878,207.9,10,-219.955144,-342.682636,-158.131904,53.060617,4
3,exp_name: takeoff-aviary-v0_2023-01-19,13040,0.057711,195.636364,11,-210.627463,-375.380808,-165.821839,56.317725,5
0,exp_name: takeoff-aviary-v0_2023-01-19,15113,0.058846,188.454545,11,-198.236969,-246.61726,-161.303861,23.567909,6
1,exp_name: takeoff-aviary-v0_2023-01-19,17185,0.050659,172.666667,12,-190.670339,-297.5014,-141.741776,48.67241,7
2,exp_name: takeoff-aviary-v0_2023-01-19,19290,0.044041,150.357143,14,-160.410838,-217.63054,-133.460568,21.228609,8
0,exp_name: takeoff-aviary-v0_2023-01-19,21376,0.050357,160.461538,13,-175.221737,-218.719967,-145.830951,22.046194,9
1,exp_name: takeoff-aviary-v0_2023-01-19,23428,0.043249,146.571429,14,-156.449248,-208.610479,-133.721097,19.710197,10
2,exp_name: takeoff-aviary-v0_2023-01-19,25616,0.046202,156.285714,14,-168.9182,-224.592756,-130.614449,28.118932,11
3,exp_name: takeoff-aviary-v0_2023-01-19,27804,0.039608,128.705882,17,-139.205551,-165.205977,-125.317401,11.718703,12
4,exp_name: takeoff-aviary-v0_2023-01-19,29980,0.037766,128.0,17,-136.319141,-165.142564,-119.652462,12.841399,13
0,exp_name: takeoff-aviary-v0_2023-01-19,32040,0.039028,128.75,16,-136.581989,-146.182915,-123.493176,6.109458,14
0,exp_name: takeoff-aviary-v0_2023-01-19,34104,0.038455,129.0,16,-136.965311,-146.225945,-123.214563,5.863052,15
1,exp_name: takeoff-aviary-v0_2023-01-19,36240,0.036665,125.647059,17,-134.143171,-156.591983,-119.781673,9.397521,16
0,exp_name: takeoff-aviary-v0_2023-01-19,38342,0.038691,123.647059,17,-132.177951,-143.609329,-121.168267,6.174244,17
1,exp_name: takeoff-aviary-v0_2023-01-19,40457,0.034607,117.5,18,-126.709889,-140.918024,-116.869556,6.160156,18
2,exp_name: takeoff-aviary-v0_2023-01-19,42520,0.03386,114.611111,18,-123.326449,-132.17007,-117.675773,4.413313,19
0,exp_name: takeoff-aviary-v0_2023-01-19,44613,0.036196,116.277778,18,-125.899834,-135.133831,-112.708176,5.220326,20
1,exp_name: takeoff-aviary-v0_2023-01-19,46748,0.034539,118.611111,18,-127.349434,-144.078497,-111.856801,7.761634,21
2,exp_name: takeoff-aviary-v0_2023-01-19,48802,0.036317,120.823529,17,-129.592647,-137.080839,-122.211567,4.22985,22
3,exp_name: takeoff-aviary-v0_2023-01-19,50966,0.036414,120.222222,18,-129.040484,-141.259468,-119.253889,6.934935,23
4,exp_name: takeoff-aviary-v0_2023-01-19,53022,0.03528,120.941176,17,-129.675801,-144.410533,-117.125299,7.426537,24
5,exp_name: takeoff-aviary-v0_2023-01-19,55134,0.038118,124.235294,17,-133.142295,-162.24068,-117.190109,10.324381,25
6,exp_name: takeoff-aviary-v0_2023-01-19,57292,0.034981,119.888889,18,-128.197788,-143.273403,-116.96972,6.966665,26
7,exp_name: takeoff-aviary-v0_2023-01-19,59434,0.036825,126.0,17,-133.521662,-166.70112,-118.027077,12.156149,27
8,exp_name: takeoff-aviary-v0_2023-01-19,61540,0.038847,123.882353,17,-132.329054,-163.411446,-122.901983,10.69736,28
0,exp_name: takeoff-aviary-v0_2023-01-19,63643,0.03637,123.705882,17,-131.90416,-153.684123,-115.910261,9.687672,29
1,exp_name: takeoff-aviary-v0_2023-01-19,65757,0.036936,124.352941,17,-132.183912,-149.3157,-122.11476,8.462453,30
2,exp_name: takeoff-aviary-v0_2023-01-19,67876,0.035937,117.722222,18,-125.576582,-163.963174,-113.991088,10.615764,31
3,exp_name: takeoff-aviary-v0_2023-01-19,69994,0.032676,111.473684,19,-119.592017,-131.55459,-112.822749,4.644865,32
4,exp_name: takeoff-aviary-v0_2023-01-19,72046,0.035059,114.0,18,-122.348665,-132.057603,-113.715832,5.814891,33
5,exp_name: takeoff-aviary-v0_2023-01-19,74182,0.033034,112.421053,19,-120.529737,-131.662462,-107.127306,6.376796,34
6,exp_name: takeoff-aviary-v0_2023-01-19,76276,0.032335,110.210526,19,-119.200646,-129.109114,-106.392771,5.8145,35
7,exp_name: takeoff-aviary-v0_2023-01-19,78359,0.034137,109.631579,19,-117.431481,-129.526038,-106.878972,6.028614,36
8,exp_name: takeoff-aviary-v0_2023-01-19,80438,0.030479,103.95,20,-111.368605,-123.233815,-102.278449,5.520749,37
9,exp_name: takeoff-aviary-v0_2023-01-19,82521,0.029743,99.190476,21,-105.851016,-115.454488,-94.163535,4.797545,38
10,exp_name: takeoff-aviary-v0_2023-01-19,84671,0.030772,102.380952,21,-109.676841,-122.832435,-95.774387,7.196864,39
11,exp_name: takeoff-aviary-v0_2023-01-19,86743,0.030445,103.6,20,-110.599533,-121.206577,-100.827783,5.342077,40
12,exp_name: takeoff-aviary-v0_2023-01-19,88830,0.030724,99.380952,21,-105.873277,-118.113519,-91.892336,6.363087,41
0,exp_name: takeoff-aviary-v0_2023-01-19,90944,0.028464,96.090909,22,-102.227003,-115.049665,-90.662099,5.101892,42
1,exp_name: takeoff-aviary-v0_2023-01-19,92995,0.027472,93.227273,22,-97.626151,-110.462907,-90.866,4.887615,43
2,exp_name: takeoff-aviary-v0_2023-01-19,95066,0.028946,94.136364,22,-98.401635,-128.848975,-89.466316,8.007996,44
3,exp_name: takeoff-aviary-v0_2023-01-19,97144,0.026447,90.347826,23,-94.390003,-102.804041,-85.579024,4.392344,45
4,exp_name: takeoff-aviary-v0_2023-01-19,99192,0.030109,89.043478,23,-92.677341,-100.969589,-86.616349,4.345515,46
5,exp_name: takeoff-aviary-v0_2023-01-19,101249,0.026467,89.434783,23,-92.670483,-101.548321,-84.79373,4.235548,47
6,exp_name: takeoff-aviary-v0_2023-01-19,103312,0.026232,89.695652,23,-92.335701,-104.404981,-83.050787,4.789193,48
7,exp_name: takeoff-aviary-v0_2023-01-19,105375,0.027719,89.695652,23,-91.626017,-111.990304,-82.135125,5.96372,49
8,exp_name: takeoff-aviary-v0_2023-01-19,107505,0.025029,85.2,25,-87.614386,-101.757211,-76.800362,5.507471,50
9,exp_name: takeoff-aviary-v0_2023-01-19,109561,0.026568,85.666667,24,-88.578355,-96.761163,-82.772298,3.161905,51
10,exp_name: takeoff-aviary-v0_2023-01-19,111682,0.025104,84.84,25,-87.075058,-95.583362,-79.213573,3.579008,52
11,exp_name: takeoff-aviary-v0_2023-01-19,113773,0.025673,87.125,24,-89.54624,-100.875297,-80.197549,5.236547,53
12,exp_name: takeoff-aviary-v0_2023-01-19,115822,0.026062,85.375,24,-87.486978,-94.348827,-82.482235,3.203599,54
13,exp_name: takeoff-aviary-v0_2023-01-19,117896,0.024447,82.96,25,-84.752058,-90.687887,-79.057285,3.222443,55
14,exp_name: takeoff-aviary-v0_2023-01-19,119977,0.026005,83.24,25,-85.299492,-93.285204,-80.317692,3.156578,56
15,exp_name: takeoff-aviary-v0_2023-01-19,122091,0.024883,84.56,25,-86.940487,-110.33236,-80.728449,5.813821,57
16,exp_name: takeoff-aviary-v0_2023-01-19,124147,0.024425,82.24,25,-84.938212,-91.603704,-80.299551,3.111911,58
17,exp_name: takeoff-aviary-v0_2023-01-19,126245,0.02577,83.92,25,-87.666542,-96.406822,-79.51624,3.850775,59
18,exp_name: takeoff-aviary-v0_2023-01-19,128302,0.024157,82.28,25,-84.653818,-88.383507,-77.427811,2.452858,60
19,exp_name: takeoff-aviary-v0_2023-01-19,130406,0.026392,84.16,25,-87.521105,-94.83359,-80.567044,3.18711,61
20,exp_name: takeoff-aviary-v0_2023-01-19,132478,0.024421,82.88,25,-85.562052,-92.145061,-79.917296,3.22186,62
21,exp_name: takeoff-aviary-v0_2023-01-19,134543,0.024968,82.6,25,-84.935613,-92.720831,-78.687222,3.680651,63
22,exp_name: takeoff-aviary-v0_2023-01-19,136626,0.024151,80.115385,26,-82.556973,-97.391702,-76.842167,3.985543,64
23,exp_name: takeoff-aviary-v0_2023-01-19,138720,0.023951,80.538462,26,-82.139658,-114.15298,-77.148604,6.745004,65
0,exp_name: takeoff-aviary-v0_2023-01-19,140807,0.025754,80.269231,26,-82.656354,-89.932989,-77.014609,3.278448,66
1,exp_name: takeoff-aviary-v0_2023-01-19,142856,0.023237,78.807692,26,-81.765166,-87.789685,-76.380694,2.737795,67
