,experiment,timestep,mean episodic runtime,mean episodic length,eval episodes,mean episodic returns,min episodic returns,max episodic returns,std episodic returns
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",2200,0.036923,200.0,11,-1224.634815,-1633.46679,-739.713681,293.073728
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",4400,0.036433,200.0,11,-1486.337129,-1723.490881,-1247.329302,154.819368
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",6600,0.039071,200.0,11,-1441.445424,-1762.62871,-883.98023,292.269746
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",8800,0.037399,200.0,11,-1175.498025,-1472.125415,-785.499196,221.555825
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",11000,0.035825,200.0,11,-1246.492704,-1873.307308,-847.621384,258.59137
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",13200,0.035154,200.0,11,-1204.316116,-1797.394553,-960.837662,262.846228
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",15400,0.035452,200.0,11,-1473.283856,-1809.237571,-842.187431,303.245588
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",17600,0.037426,200.0,11,-1350.079568,-1719.856302,-963.615843,258.752078
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",19800,0.036895,200.0,11,-1228.552484,-1798.417155,-902.495739,257.998895
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",22000,0.034935,200.0,11,-1366.271796,-1643.573069,-1074.879183,175.764126
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",24200,0.035583,200.0,11,-1247.96739,-1808.658972,-858.91185,321.895019
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",26400,0.035053,200.0,11,-1328.693941,-1874.703411,-860.366061,295.704042
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",28600,0.036655,200.0,11,-1381.111051,-1829.013487,-868.224687,331.698621
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",30800,0.038378,200.0,11,-1138.263935,-1838.959798,-736.396868,274.327872
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",33000,0.035744,200.0,11,-1247.31155,-1637.984536,-977.341748,257.37793
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",35200,0.035251,200.0,11,-1208.689871,-1850.452992,-973.409031,256.239464
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",37400,0.035545,200.0,11,-1189.459826,-1815.909713,-807.636636,296.90719
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",39600,0.035321,200.0,11,-1191.544734,-1589.501104,-907.02547,193.684492
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",41800,0.038816,200.0,11,-1212.859316,-1650.726504,-808.852239,315.832547
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",44000,0.03564,200.0,11,-1188.951403,-1621.55372,-848.905142,261.445053
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",46200,0.035261,200.0,11,-1285.786884,-1624.165802,-881.517441,208.510485
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",48400,0.035225,200.0,11,-1250.957238,-1626.330402,-937.429954,204.481147
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",50600,0.035527,200.0,11,-1199.415367,-1630.49548,-879.616945,259.545656
