,experiment,timestep,mean episodic runtime,mean episodic length,eval episodes,mean episodic returns,min episodic returns,max episodic returns,std episodic returns
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret/adv)",2200,0.038315,200.0,11,-1224.634815,-1633.46679,-739.713681,293.073728
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret/adv)",4400,0.038518,200.0,11,-1486.389974,-1723.524284,-1247.415782,154.806067
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret/adv)",6600,0.041355,200.0,11,-1441.711568,-1762.759501,-883.813083,292.122808
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret/adv)",8800,0.03848,200.0,11,-1185.003304,-1474.467147,-859.950904,210.416901
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret/adv)",11000,0.036072,200.0,11,-1248.241774,-1873.600017,-813.603491,261.49132
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret/adv)",13200,0.035684,200.0,11,-1205.320109,-1797.743994,-962.057984,262.131899
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret/adv)",15400,0.03907,200.0,11,-1478.871711,-1806.957899,-984.357381,281.650327
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret/adv)",17600,0.0391,200.0,11,-1312.618714,-1706.210843,-950.949216,264.510547
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret/adv)",19800,0.037922,200.0,11,-1186.258054,-1789.683975,-908.64519,266.906997
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret/adv)",22000,0.036629,200.0,11,-1314.200557,-1629.605945,-949.627648,218.284308
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret/adv)",24200,0.036963,200.0,11,-1215.770762,-1802.041019,-761.154552,334.321136
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret/adv)",26400,0.03582,200.0,11,-1292.457373,-1866.03218,-858.792283,317.584392
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret/adv)",28600,0.038335,200.0,11,-1382.638028,-1825.082119,-884.615397,324.064885
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret/adv)",30800,0.038747,200.0,11,-1127.761445,-1844.283764,-845.769032,288.405976
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret/adv)",33000,0.036295,200.0,11,-1185.675248,-1654.859738,-764.639836,338.349242
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret/adv)",35200,0.036482,200.0,11,-1192.840222,-1854.12885,-889.032272,278.267133
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret/adv)",37400,0.035261,200.0,11,-1133.610237,-1829.07622,-778.961812,335.963601
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret/adv)",39600,0.035923,200.0,11,-1126.816798,-1633.599461,-733.563527,292.573161
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret/adv)",41800,0.038547,200.0,11,-1319.083864,-1703.03902,-965.56368,277.992326
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret/adv)",44000,0.036793,200.0,11,-1249.268173,-1662.754467,-866.465221,291.949949
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret/adv)",46200,0.035958,200.0,11,-1410.125817,-1718.159674,-878.366218,221.385852
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret/adv)",48400,0.036947,200.0,11,-1363.851243,-1719.654755,-916.093416,232.07662
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret/adv)",50600,0.036341,200.0,11,-1344.796036,-1696.449802,-1012.240662,241.364295
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret/adv)",52800,0.038681,200.0,11,-1430.890586,-1799.418914,-1041.876603,260.245179
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret/adv)",55000,0.036151,200.0,11,-1198.793403,-1674.603127,-909.803116,207.583506
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret/adv)",57200,0.035501,200.0,11,-1360.083137,-1825.150258,-1027.679315,303.11326
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret/adv)",59400,0.035385,200.0,11,-1422.62567,-1792.437314,-960.205168,288.762422
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret/adv)",61600,0.035354,200.0,11,-1343.608419,-1705.655665,-1042.470922,218.545512
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret/adv)",63800,0.037842,200.0,11,-1551.765727,-1839.298058,-1058.229727,246.606357
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret/adv)",66000,0.036832,200.0,11,-1455.082012,-1769.157371,-1069.61247,216.939361
